"year","country","age","gender","corruption","imp_democracy","income_group"
2017,"US",32,2,10,10,4
2017,"US",32,1,7,10,7
2017,"US",20,2,5,5,7
2017,"US",40,1,6,5,6
2017,"US",21,2,10,10,7
2017,"US",36,1,10,9,2
2017,"US",50,2,10,7,5
2017,"US",32,1,10,10,8
2017,"US",48,1,7,10,4
2017,"US",21,1,6,10,1
2017,"US",27,1,10,10,4
2017,"US",25,1,9,9,4
2017,"US",19,1,10,6,5
2017,"US",80,1,7,10,6
2017,"US",26,2,10,10,3
2017,"US",45,2,10,7,3
2017,"US",38,1,10,4,6
2017,"US",39,1,9,10,4
2017,"US",33,1,10,10,7
2017,"US",24,2,8,7,5
2017,"US",32,2,10,8,4
2017,"US",27,2,8,10,4
2017,"US",75,2,10,2,5
2017,"US",25,2,8,10,3
2017,"US",26,2,10,10,6
2017,"US",36,2,10,10,3
2017,"US",25,1,10,10,7
2017,"US",24,2,10,5,2
2017,"US",28,2,10,10,5
2017,"US",49,1,8,10,8
2017,"US",35,1,10,3,2
2017,"US",44,1,10,10,5
2017,"US",47,2,8,10,NA
2017,"US",60,1,10,10,4
2017,"US",57,2,10,10,1
2017,"US",51,1,10,7,2
2017,"US",20,1,4,7,3
2017,"US",59,1,10,10,6
2017,"US",42,2,10,9,3
2017,"US",19,1,10,10,8
2017,"US",61,1,10,10,3
2017,"US",22,1,8,10,4
2017,"US",38,1,10,10,5
2017,"US",47,2,10,10,3
2017,"US",75,1,9,10,7
2017,"US",50,2,10,5,7
2017,"US",61,2,10,10,1
2017,"US",24,2,10,10,5
2017,"US",83,1,9,10,4
2017,"US",40,1,10,5,7
2017,"US",18,2,7,10,4
2017,"US",25,1,10,8,3
2017,"US",24,2,10,10,4
2017,"US",43,2,10,8,6
2017,"US",21,2,10,10,7
2017,"US",24,2,6,8,5
2017,"US",47,2,10,10,4
2017,"US",36,1,10,10,2
2017,"US",27,2,7,10,5
2017,"US",23,1,8,8,4
2017,"US",19,1,9,6,5
2017,"US",24,2,9,5,3
2017,"US",22,2,10,6,5
2017,"US",47,2,10,10,4
2017,"US",53,2,10,10,1
2017,"US",27,1,8,10,6
2017,"US",19,2,10,10,3
2017,"US",45,1,10,1,9
2017,"US",25,2,10,10,4
2017,"US",53,2,10,10,7
2017,"US",54,2,10,10,5
2017,"US",38,1,10,10,5
2017,"US",24,1,10,10,4
2017,"US",34,2,6,8,5
2017,"US",54,1,8,8,4
2017,"US",33,1,10,8,4
2017,"US",46,1,9,10,5
2017,"US",62,2,6,10,5
2017,"US",73,1,9,10,5
2017,"US",49,2,6,6,NA
2017,"US",56,1,7,6,7
2017,"US",47,1,10,10,4
2017,"US",33,2,8,9,3
2017,"US",36,2,10,1,NA
2017,"US",33,1,8,10,7
2017,"US",57,1,10,10,6
2017,"US",56,1,10,2,6
2017,"US",29,2,7,10,5
2017,"US",48,1,10,9,2
2017,"US",60,2,10,10,10
2017,"US",46,1,8,10,7
2017,"US",18,1,4,2,6
2017,"US",34,1,6,5,6
2017,"US",18,2,6,5,5
2017,"US",25,2,6,7,6
2017,"US",73,1,9,10,8
2017,"US",57,1,8,7,7
2017,"US",39,1,5,6,4
2017,"US",24,2,8,10,5
2017,"US",31,2,10,6,2
2017,"US",62,1,10,10,2
2017,"US",33,1,10,8,7
2017,"US",23,1,8,6,7
2017,"US",31,2,8,10,4
2017,"US",34,1,6,10,9
2017,"US",30,2,10,8,4
2017,"US",28,2,10,5,3
2017,"US",20,1,8,9,10
2017,"US",53,1,8,10,5
2017,"US",56,2,10,1,4
2017,"US",46,1,10,8,5
2017,"US",54,1,10,5,3
2017,"US",54,2,10,7,4
2017,"US",38,1,4,4,3
2017,"US",54,2,10,8,4
2017,"US",30,2,1,4,1
2017,"US",39,2,7,5,5
2017,"US",41,1,10,10,5
2017,"US",41,1,4,8,6
2017,"US",32,2,6,5,5
2017,"US",30,1,10,10,3
2017,"US",50,1,8,7,6
2017,"US",30,2,7,NA,5
2017,"US",53,2,5,8,7
2017,"US",30,2,10,10,3
2017,"US",29,2,9,6,5
2017,"US",23,1,10,5,5
2017,"US",35,2,10,8,3
2017,"US",18,2,7,10,6
2017,"US",31,2,10,5,2
2017,"US",23,2,4,8,8
2017,"US",29,1,7,10,4
2017,"US",26,2,8,1,4
2017,"US",39,2,10,10,6
2017,"US",59,2,10,5,2
2017,"US",23,2,5,5,7
2017,"US",34,1,10,4,5
2017,"US",58,2,10,8,4
2017,"US",46,2,8,10,4
2017,"US",46,2,8,5,2
2017,"US",49,1,7,10,7
2017,"US",32,2,4,10,9
2017,"US",22,2,6,6,5
2017,"US",62,1,9,9,4
2017,"US",57,1,10,10,6
2017,"US",45,1,10,6,1
2017,"US",62,1,7,9,5
2017,"US",48,2,8,5,5
2017,"US",79,1,10,10,3
2017,"US",27,2,10,8,5
2017,"US",37,2,4,8,6
2017,"US",59,1,8,10,6
2017,"US",26,2,10,5,8
2017,"US",25,1,10,5,6
2017,"US",21,2,9,6,3
2017,"US",24,2,10,6,6
2017,"US",25,2,5,5,5
2017,"US",47,2,5,5,5
2017,"US",19,1,10,10,5
2017,"US",31,2,7,5,6
2017,"US",25,2,5,5,5
2017,"US",54,2,10,10,4
2017,"US",30,1,10,8,5
2017,"US",53,2,7,10,5
2017,"US",51,1,8,5,1
2017,"US",31,1,5,10,7
2017,"US",29,1,9,5,6
2017,"US",47,2,9,3,6
2017,"US",69,2,9,9,4
2017,"US",49,2,4,6,5
2017,"US",52,2,9,8,5
2017,"US",35,1,8,8,6
2017,"US",22,2,7,5,5
2017,"US",60,1,10,5,1
2017,"US",32,2,6,5,2
2017,"US",32,2,5,10,2
2017,"US",34,2,10,5,5
2017,"US",27,2,5,5,5
2017,"US",30,1,10,10,5
2017,"US",55,1,8,10,6
2017,"US",35,2,5,8,4
2017,"US",48,2,8,10,4
2017,"US",60,2,10,9,5
2017,"US",30,1,5,7,8
2017,"US",29,2,10,5,2
2017,"US",21,2,6,5,5
2017,"US",30,1,8,5,6
2017,"US",26,2,4,5,5
2017,"US",52,1,7,10,5
2017,"US",31,2,10,1,3
2017,"US",28,2,10,9,3
2017,"US",47,2,10,10,5
2017,"US",77,1,9,10,3
