"v960066","v960067","v960070","v960071","v960073","v960115","v960119","v960272","v960281","v960284","v960292","v960293","v960365","v960385","v960420","v960568","v960571","v960605","v960606","v960610","v960701","v961039","v961300","religion"
2,1,4,3,3,4,25,0,0,70,50,50,2,3,3,1,2,28,1,4,18,50,5,9
1,1,4,1,3,4,25,50,40,60,40,40,5,1,3,1,1,44,1,7,21,50,5,1
2,1,3,3,3,4,51,0,0,NA,0,75,NA,5,6,5,1,85,3,3,12,70,5,1
2,NA,NA,NA,NA,4,294,85,85,60,70,85,NA,5,5,2,1,54,1,3,16,70,5,9
1,2,2,2,2,4,724,70,85,0,60,50,5,NA,1,4,1,63,1,4,23,NA,NA,9
2,1,3,2,2,1,0,40,40,0,60,70,5,3,5,4,1,45,1,7,24,60,5,2
1,1,1,1,2,1,80,30,0,40,40,85,5,5,5,3,1,66,1,6,16,85,5,7
2,1,4,2,4,1,80,70,70,30,50,50,NA,1,3,2,1,59,1,3,19,NA,NA,9
2,1,3,2,3,1,80,60,40,15,60,50,3,1,2,2,1,44,1,6,19,60,1,2
1,1,3,2,3,1,80,30,50,50,40,52,6,5,3,4,1,45,1,6,18,50,5,7
1,1,2,2,2,1,0,70,50,30,60,40,6,3,3,2,2,68,1,6,14,50,5,9
2,1,3,1,2,1,0,70,70,40,60,40,3,3,2,4,1,22,5,6,4,70,1,9
1,1,2,2,1,1,0,15,0,60,40,85,6,3,5,2,2,25,5,3,16,50,5,2
1,1,2,2,2,1,65,50,30,70,30,70,NA,3,5,4,1,63,1,4,19,60,5,2
1,1,3,3,2,1,65,85,70,0,85,50,NA,1,0,2,1,53,1,2,16,70,5,9
1,1,1,1,1,1,65,60,70,50,100,0,NA,3,1,2,2,32,1,3,17,50,5,9
2,1,3,2,1,1,0,70,60,30,85,15,4,3,1,2,2,21,5,4,2,100,5,9
2,1,4,3,3,1,0,70,70,30,85,0,NA,5,0,2,1,37,4,3,9,50,5,9
1,1,4,4,2,1,0,30,85,NA,50,85,4,3,6,4,1,45,1,3,3,85,5,1
2,1,2,1,2,1,0,15,0,70,40,70,4,3,4,5,1,33,1,5,24,70,5,1
2,1,1,1,1,1,0,0,0,70,15,85,6,1,6,5,1,52,1,6,24,15,5,1
2,1,4,3,3,1,0,40,0,0,40,70,NA,3,1,1,1,69,1,3,14,70,5,2
2,1,4,3,3,1,0,70,60,40,50,50,2,3,3,1,1,42,3,3,10,70,5,9
2,2,4,4,3,1,328,100,100,70,85,80,NA,5,2,5,1,65,2,1,3,85,1,1
2,2,1,1,1,1,328,70,86,40,100,60,3,3,0,3,1,62,2,3,12,50,5,1
2,2,2,2,1,1,328,70,60,0,50,50,3,3,1,4,2,51,3,4,9,NA,NA,1
2,1,2,2,2,1,0,0,0,60,15,70,4,3,5,2,1,70,2,3,NA,60,5,9
1,2,1,2,1,1,0,40,15,30,40,70,4,3,5,1,1,37,5,5,12,70,5,1
2,1,3,2,4,1,12,0,0,15,30,40,NA,3,3,2,1,74,2,2,NA,NA,NA,1
1,1,1,2,2,1,12,50,30,50,40,60,4,5,4,2,1,54,1,4,NA,70,5,1
2,1,3,3,2,1,12,70,60,NA,70,70,3,3,3,2,1,32,1,3,18,60,5,2
1,1,1,1,1,1,12,40,50,85,50,50,4,5,5,5,1,63,1,7,21,60,5,2
2,1,3,3,3,1,0,70,50,0,50,0,4,1,3,4,1,73,2,3,5,NA,NA,2
2,1,4,2,4,1,0,60,50,0,30,30,NA,3,2,1,1,85,2,2,6,50,5,1
1,4,2,1,1,1,0,70,50,30,50,80,3,3,4,2,1,52,1,6,21,60,5,7
2,1,1,2,1,2,63,0,0,40,0,70,6,3,6,2,1,30,5,6,12,70,5,2
2,1,3,2,3,2,63,30,15,30,30,70,6,3,4,1,1,53,3,5,14,15,5,1
2,1,5,3,4,2,63,70,70,40,40,50,3,5,NA,1,1,19,5,3,NA,100,5,2
2,1,4,3,3,2,20,60,50,60,60,85,NA,5,5,4,1,33,1,3,21,50,5,2
1,1,1,2,1,2,20,0,0,60,0,60,6,1,6,4,1,54,1,5,20,40,5,1
1,1,2,2,2,2,20,0,0,30,0,30,6,1,4,5,1,38,1,4,21,30,5,2
1,1,4,3,2,2,20,100,100,100,0,100,NA,5,4,1,1,19,5,2,22,60,5,2
1,1,3,2,3,2,5,40,0,70,30,60,6,1,5,2,1,27,5,6,23,NA,NA,1
2,1,3,2,2,2,5,80,60,15,70,40,3,5,2,2,2,50,3,3,16,70,5,9
1,1,4,4,3,2,5,0,NA,NA,30,70,6,3,5,4,1,61,1,4,20,0,5,2
1,2,4,4,2,2,628,100,85,50,85,60,NA,1,0,5,1,32,5,3,10,70,5,1
2,2,3,3,3,2,628,100,100,0,50,70,NA,5,4,2,1,38,1,3,18,85,5,7
2,1,4,2,2,2,191,70,70,50,60,40,3,3,1,4,1,20,5,4,1,85,5,2
2,4,3,2,2,2,191,60,70,60,60,40,2,1,2,3,2,20,5,4,2,85,1,9
2,4,2,2,2,2,191,50,50,50,60,70,5,3,5,4,1,22,5,4,1,50,5,1
2,1,1,1,1,2,191,70,100,30,85,0,2,1,0,5,1,47,1,7,NA,85,1,7
2,1,2,2,2,2,191,70,70,15,70,30,2,1,0,4,2,52,1,6,24,85,1,1
1,1,2,1,2,2,191,85,60,0,70,40,3,1,0,2,1,35,1,6,23,NA,NA,9
1,1,4,2,3,2,191,70,70,50,60,30,3,3,2,2,1,39,1,5,21,60,5,2
2,1,3,2,2,2,0,70,85,0,60,30,4,3,2,4,1,48,1,5,20,60,5,9
1,1,2,2,3,2,0,30,30,60,40,70,5,1,6,2,1,45,1,4,21,85,5,1
1,1,2,2,2,2,0,60,50,0,60,40,3,1,0,4,2,50,5,4,16,70,5,9
1,1,4,2,2,2,0,87,80,40,83,70,4,1,2,4,1,28,5,6,15,85,5,2
2,1,4,3,2,2,0,100,70,30,100,60,4,1,1,3,1,73,1,3,12,60,5,1
2,1,4,3,3,2,6,15,40,40,30,85,6,3,6,2,1,77,2,4,5,30,5,1
2,1,3,3,3,2,0,50,0,0,30,85,NA,5,5,2,1,52,1,4,18,60,5,1
1,1,3,3,2,2,0,85,85,30,85,30,2,1,0,2,1,30,3,4,17,70,5,1
2,1,2,2,2,2,0,40,50,70,60,85,6,3,6,4,1,30,5,6,19,50,5,1
2,1,3,3,3,2,0,60,50,0,60,60,6,3,1,3,1,74,2,3,6,50,5,1
2,1,5,3,3,2,6,30,60,NA,60,70,NA,3,3,2,2,25,3,2,2,NA,NA,9
1,1,3,3,3,2,6,60,15,40,60,60,5,3,5,2,1,55,1,3,13,60,5,1
2,1,3,2,2,2,193,70,60,15,50,50,4,1,1,2,1,30,1,6,21,NA,NA,1
1,1,2,2,1,2,193,30,15,70,30,85,6,3,6,2,1,35,1,3,20,40,5,1
1,1,5,3,3,2,193,50,60,50,70,60,NA,5,2,1,1,20,5,3,12,NA,NA,7
2,1,5,3,3,2,193,85,85,NA,NA,NA,NA,5,0,2,1,19,5,2,NA,NA,NA,9
2,1,4,3,3,2,5,100,100,0,100,0,4,1,0,2,1,70,1,3,10,85,5,2
2,1,3,2,4,2,5,15,0,70,40,70,6,5,6,3,1,53,1,3,23,60,5,1
1,1,3,3,3,2,5,30,30,15,40,60,5,3,5,4,1,70,1,6,21,70,5,1
2,1,3,2,1,2,0,70,50,30,85,60,NA,3,0,3,1,58,1,3,22,60,5,9
1,1,3,2,1,2,0,85,60,0,60,30,NA,3,5,2,1,64,1,4,16,NA,5,2
2,1,3,3,3,3,6,90,90,50,90,90,NA,1,1,2,1,46,4,3,10,95,5,1
2,2,4,3,3,3,6,15,50,NA,50,50,NA,5,3,4,1,32,5,1,8,100,5,9
1,1,2,2,2,3,6,60,60,15,60,40,4,3,2,2,1,25,1,3,21,50,5,1
2,1,3,3,3,3,6,70,60,70,70,60,5,1,6,2,1,46,1,4,20,40,5,1
2,1,2,2,2,3,0,40,0,15,60,60,5,5,5,4,1,51,1,4,NA,70,1,2
2,1,2,2,1,3,0,100,85,0,70,15,5,1,0,1,1,72,3,3,NA,60,5,1
2,1,2,2,2,3,0,60,50,50,60,60,6,5,4,2,1,31,1,5,5,60,5,1
2,1,3,3,3,3,25,60,60,50,60,60,6,1,5,5,1,73,2,3,NA,NA,NA,1
2,1,2,2,2,3,25,30,60,40,40,70,6,1,5,4,1,41,1,4,20,70,5,1
1,2,3,3,3,3,179,100,85,30,100,30,6,3,1,2,1,48,3,4,16,70,5,1
2,2,5,3,4,3,179,100,100,0,100,60,NA,1,0,5,1,60,1,2,13,100,5,1
2,2,5,4,3,3,25,50,50,NA,50,50,NA,1,3,5,2,25,5,3,2,50,5,1
1,2,5,5,4,3,25,0,70,NA,0,0,5,5,0,5,1,64,4,1,3,30,5,1
2,2,5,4,4,3,25,85,100,NA,100,15,NA,3,0,2,1,47,3,2,9,100,5,7
1,2,2,2,2,3,0,85,100,0,60,40,NA,1,2,2,1,35,1,6,16,100,5,1
2,2,4,3,4,3,0,85,70,15,85,15,NA,3,0,4,1,32,1,5,20,70,5,7
2,2,2,2,2,3,0,100,60,50,100,60,2,1,0,5,1,38,1,6,NA,85,5,1
2,1,3,2,3,3,18,40,30,30,60,60,2,3,2,4,1,24,5,4,14,NA,NA,7
2,1,1,1,2,3,18,85,85,40,85,40,5,1,3,4,1,61,1,3,NA,60,5,1
2,2,5,4,2,3,0,100,NA,NA,100,70,NA,3,0,1,1,42,5,2,5,100,5,7
2,2,3,3,5,3,635,100,100,0,100,40,1,1,0,1,1,34,5,3,10,NA,NA,1
2,2,4,3,3,3,635,70,40,50,70,30,2,5,0,2,1,24,5,6,8,85,1,7
2,1,3,3,3,3,4,85,70,30,100,0,NA,1,0,1,1,58,3,1,3,40,5,1
1,1,2,2,2,3,0,40,15,30,40,85,6,1,6,2,1,53,3,6,16,50,5,9
2,1,3,2,3,3,0,100,85,60,100,50,4,3,0,4,2,79,2,5,NA,65,5,9
2,1,4,3,3,3,0,60,60,NA,50,70,5,5,5,4,1,38,4,3,4,NA,NA,1
1,1,3,3,1,3,0,40,50,60,60,70,5,1,4,4,1,18,5,3,17,85,5,1
1,1,2,2,2,3,0,50,15,0,40,25,6,5,1,1,1,38,1,3,NA,15,5,9
2,NA,NA,NA,NA,3,0,0,0,40,50,50,3,3,5,2,1,33,3,3,16,50,5,1
2,1,3,2,2,3,0,30,30,30,40,70,6,3,4,4,1,58,1,2,20,NA,NA,2
2,1,3,3,3,3,0,50,0,0,0,100,6,5,4,1,1,79,2,3,10,40,5,2
2,2,4,3,4,3,0,70,70,NA,100,30,1,5,0,1,1,73,4,1,NA,100,5,1
2,1,3,3,3,3,0,85,60,0,70,50,4,5,1,2,1,45,1,3,17,50,5,9
2,1,3,3,2,3,0,40,50,50,40,40,4,5,3,1,1,39,1,4,17,30,1,2
2,1,2,3,2,3,19,15,0,70,15,85,6,3,6,3,1,48,1,4,NA,60,5,1
2,1,2,2,2,3,0,100,70,30,60,60,4,1,2,4,1,74,2,7,12,85,5,1
2,1,3,3,3,3,0,60,60,50,70,85,4,5,5,1,1,24,1,4,17,85,5,1
2,1,2,2,2,3,0,0,0,60,85,70,4,3,6,3,2,50,1,4,24,NA,NA,9
1,1,1,3,1,3,0,0,0,70,0,85,5,3,6,2,2,69,1,3,NA,85,5,1
2,1,4,3,3,3,0,85,70,15,85,60,2,3,1,4,2,21,1,5,16,NA,NA,1
1,1,1,2,1,3,0,85,60,15,30,30,NA,1,3,5,2,49,1,4,14,85,1,7
2,2,3,3,3,3,165,100,85,40,100,70,4,5,0,3,1,32,5,3,10,95,5,1
1,2,2,3,3,3,165,85,60,NA,70,40,4,1,0,1,1,48,3,2,6,85,5,9
1,1,5,4,3,3,2,100,100,30,100,30,NA,1,0,1,1,79,1,1,7,75,5,7
2,1,2,2,2,3,2,40,70,40,70,60,4,3,2,2,1,36,3,6,16,NA,NA,7
2,1,4,3,2,3,2,50,50,NA,50,40,NA,3,1,1,1,38,3,3,12,50,5,7
2,1,2,2,1,3,10,70,70,0,70,60,NA,3,2,1,1,60,3,5,19,60,5,1
1,1,4,3,4,3,10,15,50,NA,15,70,6,3,6,2,2,32,3,3,18,NA,NA,9
2,1,2,1,2,3,10,60,60,0,50,30,2,3,1,4,2,28,1,7,22,85,5,1
1,1,4,3,3,3,10,60,40,85,50,85,NA,3,5,2,1,42,1,3,21,60,5,7
1,2,3,2,4,3,266,90,50,50,100,50,5,1,0,2,1,67,2,3,4,50,5,1
2,2,4,3,3,3,266,100,75,NA,100,50,1,5,0,4,1,83,2,1,3,50,5,1
1,NA,NA,NA,NA,3,266,35,30,NA,38,70,NA,5,6,3,1,26,5,3,22,NA,NA,7
2,2,3,2,1,3,266,85,70,50,85,70,NA,3,1,4,1,34,6,5,18,50,5,1
2,2,4,3,3,3,266,85,100,85,100,70,NA,5,2,1,1,35,5,4,11,85,5,1
2,2,2,2,3,3,266,100,100,100,100,85,1,1,2,5,1,58,5,5,13,100,5,1
2,2,4,3,3,3,266,85,70,NA,100,70,NA,3,1,2,1,73,2,2,4,100,5,9
