"","X","internettbruk","kjonn","alder","utdanning","tillit"
"429",429,5,1,53,8,3
"430",430,1,2,84,7,2
"431",431,5,1,41,13,7
"432",432,1,2,82,5,NA
"433",433,4,1,69,12,7
"434",434,5,2,19,12,5
"435",435,5,1,40,15,8
"436",436,1,2,54,8,8
"437",437,1,2,90,4,3
"438",438,5,2,34,19,8
"439",439,4,2,55,8,3
"440",440,5,1,46,10,8
"441",441,5,1,68,10,1
"442",442,1,2,84,8,7
"443",443,1,2,85,5,3
"444",444,3,1,77,5,8
"445",445,5,2,50,13,4
"446",446,4,2,65,12,7
"447",447,5,1,36,16,5
"448",448,4,1,70,8,1
"449",449,5,2,42,15,4
"450",450,4,2,21,13,3
"451",451,2,1,58,8,4
"452",452,5,1,69,8,4
"453",453,2,1,22,9,NA
"454",454,1,2,72,5,6
"455",455,1,2,40,8,8
"456",456,5,1,22,16,6
"457",457,4,2,49,18,3
"458",458,5,2,21,14,4
"459",459,5,2,18,12,NA
"460",460,4,1,53,8,6
"461",461,1,1,47,NA,0
"462",462,5,2,16,10,5
"463",463,3,1,54,10,3
"464",464,4,2,56,13,7
"465",465,5,2,23,13,7
"466",466,5,1,44,10,4
"467",467,5,1,53,10,8
"468",468,5,1,62,13,0
"469",469,5,2,54,13,6
"470",470,1,1,86,5,6
"471",471,5,1,60,13,5
"472",472,2,1,45,9,2
"473",473,5,1,31,8,5
"474",474,3,1,80,13,5
"475",475,1,1,86,8,1
"476",476,5,2,38,18,6
"477",477,5,1,34,13,0
"478",478,1,2,79,NA,NA
"479",479,5,1,27,13,5
"480",480,1,2,78,5,4
"481",481,5,1,17,11,10
"482",482,5,1,27,13,5
"483",483,5,1,43,15,6
"484",484,5,2,28,14,2
"485",485,5,1,71,8,6
"486",486,4,1,52,8,7
"487",487,1,2,73,13,6
"488",488,4,2,50,13,5
"489",489,5,2,38,8,5
"490",490,2,2,81,8,0
"491",491,2,1,73,12,0
"492",492,1,2,80,5,7
"493",493,1,2,64,8,4
"494",494,5,2,42,17,4
"495",495,5,1,63,13,7
"496",496,1,2,78,13,0
"497",497,5,1,19,13,6
"498",498,4,2,22,16,5
"499",499,5,1,32,11,2
"500",500,1,1,79,8,7
"501",501,2,2,58,13,6
"502",502,5,2,71,13,5
"503",503,1,2,67,4,6
"504",504,5,2,25,13,0
"505",505,4,2,36,20,4
"506",506,5,2,55,14,2
"507",507,5,2,36,12,6
"508",508,5,2,28,20,4
"509",509,5,1,56,23,7
"510",510,5,2,68,18,6
"511",511,5,1,51,13,5
"512",512,1,2,72,5,1
"513",513,5,1,61,13,6
"514",514,5,1,44,14,5
"515",515,3,2,27,13,5
"516",516,3,2,54,13,5
"517",517,1,2,87,6,5
"518",518,3,2,53,11,7
"519",519,3,1,28,8,0
"520",520,5,1,69,13,8
"521",521,5,1,54,16,4
"522",522,1,1,87,3,5
